Metadata_guide_identity,mean_ap,p_value,n_pos_pairs,n_total_pairs
ALDOA_ALDOA_+_30077139.23-P1P2_00,0.05594520187820322,0.2806858,107.0,2467.0
ALDOA_ALDOA_+_30077139.23-P1P2_06,0.07473418953750652,0.2536521,150.0,2510.0
ALDOA_ALDOA_+_30077139.23-P1P2_07,0.05062650538235255,0.3699777,101.0,2461.0
ALDOA_ALDOA_+_30077139.23-P1P2_13,0.06875198059294277,0.4683895,164.0,2524.0
ALDOA_ALDOA_+_30077139.23-P1P2_14,0.03668037098286449,0.43289623,80.0,2440.0
ATP5E_ATP5E_-_57607036.23-P1P2_00,0.11018325344313158,0.30388132,204.0,2564.0
ATP5E_ATP5E_-_57607036.23-P1P2_01,0.07906634101132849,0.31904477,162.0,2522.0
ATP5E_ATP5E_-_57607036.23-P1P2_04,0.06627197839769718,0.44547272,155.0,2515.0
ATP5E_ATP5E_-_57607036.23-P1P2_14,0.04833384948835256,0.45033967,110.0,2470.0
ATP5E_ATP5E_-_57607036.23-P1P2_16,0.08338163021142612,0.28928474,160.0,2520.0
BCR_BCR_+_23523092.23-P1P2_00,0.6471336134990116,0.12488252,139.0,2499.0
BCR_BCR_+_23523092.23-P1P2_04,0.4817647962571386,0.17485964,91.0,2451.0
BCR_BCR_+_23523092.23-P1P2_05,0.1654226917044161,0.34070146,244.0,2604.0
BCR_BCR_+_23523092.23-P1P2_07,0.63331242890077,0.14588858,124.0,2484.0
BCR_BCR_+_23523092.23-P1P2_13,0.055136846912320125,0.30301917,92.0,2452.0
BCR_BCR_+_23523092.23-P1P2_15,0.07986774363655472,0.2518648,129.0,2489.0
CAD_CAD_+_27440280.23-P1P2_00,0.4855073161247023,0.05904448,132.0,2492.0
CAD_CAD_+_27440280.23-P1P2_03,0.5040373131539702,0.06300423,113.0,2473.0
CAD_CAD_+_27440280.23-P1P2_06,0.17509104209542325,0.21512565,124.0,2484.0
CAD_CAD_+_27440280.23-P1P2_07,0.35467285853847386,0.116899766,226.0,2586.0
CAD_CAD_+_27440280.23-P1P2_13,0.123532475684201,0.31742686,243.0,2603.0
CDC23_CDC23_-_137548987.23-P1P2_00,0.08077937214061123,0.3265665,114.0,2474.0
CDC23_CDC23_-_137548987.23-P1P2_02,0.08669304373669731,0.30667287,83.0,2443.0
CDC23_CDC23_-_137548987.23-P1P2_04,0.07904104324369478,0.38845754,138.0,2498.0
CDC23_CDC23_-_137548987.23-P1P2_08,0.09868136514473183,0.33588383,148.0,2508.0
CDC23_CDC23_-_137548987.23-P1P2_11,0.11841826455290523,0.49561673,308.0,2668.0
COX11_COX11_+_53045977.23-P1P2_00,0.09000396805229827,0.2916786,205.0,2565.0
COX11_COX11_+_53045977.23-P1P2_03,0.12372983346829002,0.27640513,295.0,2655.0
COX11_COX11_+_53045977.23-P1P2_04,0.06535945546516901,0.35652003,148.0,2508.0
COX11_COX11_+_53045977.23-P1P2_05,0.0609980221069343,0.36256734,137.0,2497.0
COX11_COX11_+_53045977.23-P1P2_10,0.049848198909686864,0.3233452,106.0,2466.0
DBR1_DBR1_+_137893744.23-P1P2_00,0.1613753278674816,0.18375245,352.0,2712.0
DBR1_DBR1_+_137893744.23-P1P2_01,0.08816514451551423,0.23438862,181.0,2541.0
DBR1_DBR1_+_137893744.23-P1P2_05,0.0745283969355022,0.36088508,169.0,2529.0
DBR1_DBR1_+_137893744.23-P1P2_07,0.11924983487734525,0.19082549,230.0,2590.0
DBR1_DBR1_+_137893744.23-P1P2_08,0.05253007583234416,0.43450448,120.0,2480.0
DUT_DUT_+_48624411.23-P1P2_00,0.15219453623145898,0.20558794,245.0,2605.0
DUT_DUT_+_48624411.23-P1P2_01,0.23496539350381881,0.23287714,439.0,2799.0
DUT_DUT_+_48624411.23-P1P2_07,0.08020047943284933,0.2056676,75.0,2435.0
DUT_DUT_+_48624411.23-P1P2_08,0.1753954142538535,0.22963887,303.0,2663.0
DUT_DUT_+_48624411.23-P1P2_10,0.06640029264144524,0.34258544,141.0,2501.0
EIF2S1_EIF2S1_-_67827080.23-P1P2_00,0.6379770546695495,0.12476752,104.0,2464.0
EIF2S1_EIF2S1_-_67827080.23-P1P2_01,0.3038100173607138,0.25436473,121.0,2481.0
EIF2S1_EIF2S1_-_67827080.23-P1P2_02,0.5824400963173699,0.15242572,143.0,2503.0
EIF2S1_EIF2S1_-_67827080.23-P1P2_06,0.5594094357425682,0.064587735,85.0,2445.0
EIF2S1_EIF2S1_-_67827080.23-P1P2_07,0.06022169614132163,0.47164795,143.0,2503.0
GATA1_GATA1_-_48645022.23-P1P2_00,0.6297502950247095,0.097924374,40.0,2400.0
GATA1_GATA1_-_48645022.23-P1P2_03,0.7556746513262202,0.08480312,111.0,2471.0
GATA1_GATA1_-_48645022.23-P1P2_04,0.7362470365536404,0.059158377,41.0,2401.0
GATA1_GATA1_-_48645022.23-P1P2_06,0.3375656250139571,0.2228083,120.0,2480.0
GATA1_GATA1_-_48645022.23-P1P2_08,0.5805797870408469,0.12803388,59.0,2419.0
GATA1_GATA1_-_48645022.23-P1P2_12,0.047181509929565144,0.37654978,102.0,2462.0
GINS1_GINS1_-_25388381.23-P1P2_00,0.08323289929038288,0.19808021,45.0,2405.0
GINS1_GINS1_-_25388381.23-P1P2_03,0.16733554639120077,0.18388398,168.0,2528.0
GINS1_GINS1_-_25388381.23-P1P2_06,0.2613864380378565,0.13944617,207.0,2567.0
GINS1_GINS1_-_25388381.23-P1P2_08,0.31102599329489256,0.15138963,314.0,2674.0
GINS1_GINS1_-_25388381.23-P1P2_14,0.06350917860323384,0.3935016,126.0,2486.0
GNB2L1_GNB2L1_+_180670873.23-P1P2_00,0.1035228889401769,0.044867385,31.0,2391.0
GNB2L1_GNB2L1_+_180670873.23-P1P2_02,0.05942556017258073,0.2220994,110.0,2470.0
GNB2L1_GNB2L1_+_180670873.23-P1P2_07,0.1031066616098664,0.12738577,132.0,2492.0
GNB2L1_GNB2L1_+_180670873.23-P1P2_08,0.40739749588419705,0.071411036,560.0,2920.0
GNB2L1_GNB2L1_+_180670873.23-P1P2_13,0.09681779675197007,0.16731507,128.0,2488.0
HSPA5_HSPA5_+_128003624.23-P1P2_00,0.46518005765304615,0.1511596,86.0,2446.0
HSPA5_HSPA5_+_128003624.23-P1P2_01,0.6307290522748339,0.120822184,107.0,2467.0
HSPA5_HSPA5_+_128003624.23-P1P2_04,0.5963884927948164,0.15257348,132.0,2492.0
HSPA5_HSPA5_+_128003624.23-P1P2_06,0.2112215676073748,0.2773687,225.0,2585.0
HSPA5_HSPA5_+_128003624.23-P1P2_08,0.6216986317814355,0.1414196,162.0,2522.0
HSPA9_HSPA9_-_137911079.23-P1P2_00,0.6370994394520183,0.094861455,85.0,2445.0
HSPA9_HSPA9_-_137911079.23-P1P2_02,0.2813935535488773,0.19413115,84.0,2444.0
HSPA9_HSPA9_-_137911079.23-P1P2_04,0.09284757052953235,0.37840047,166.0,2526.0
HSPA9_HSPA9_-_137911079.23-P1P2_07,0.6093532870587713,0.1376353,107.0,2467.0
HSPA9_HSPA9_-_137911079.23-P1P2_08,0.18565050510018985,0.22635266,76.0,2436.0
HSPE1_HSPE1_+_198365089.23-P1P2_00,0.24818114122527302,0.14889954,193.0,2553.0
HSPE1_HSPE1_+_198365089.23-P1P2_01,0.21367059639632652,0.19217116,248.0,2608.0
HSPE1_HSPE1_+_198365089.23-P1P2_02,0.12065098720734538,0.1854643,203.0,2563.0
HSPE1_HSPE1_+_198365089.23-P1P2_03,0.14492712605860894,0.13140674,175.0,2535.0
HSPE1_HSPE1_+_198365089.23-P1P2_14,0.06222790344713435,0.29418287,129.0,2489.0
MTOR_MTOR_+_11322547.23-P1P2_00,0.27482616644702423,0.12822588,397.0,2757.0
MTOR_MTOR_+_11322547.23-P1P2_05,0.09528428622259388,0.2398135,143.0,2503.0
MTOR_MTOR_+_11322547.23-P1P2_06,0.07529051147031243,0.25938937,97.0,2457.0
MTOR_MTOR_+_11322547.23-P1P2_07,0.11481500555171699,0.19805105,150.0,2510.0
MTOR_MTOR_+_11322547.23-P1P2_10,0.07743652349125774,0.35026082,144.0,2504.0
POLR1D_POLR1D_+_28196016.23-P1_00,0.2831390403498108,0.05525408,197.0,2557.0
POLR1D_POLR1D_+_28196016.23-P1_01,0.26148916669134287,0.11052823,246.0,2606.0
POLR1D_POLR1D_+_28196016.23-P1_03,0.306487626215884,0.08933359,166.0,2526.0
POLR1D_POLR1D_+_28196016.23-P1_07,0.15748175040822585,0.3621906,383.0,2743.0
POLR1D_POLR1D_+_28196016.23-P1_08,0.37792342635257864,0.0702078,323.0,2683.0
POLR2H_POLR2H_+_184081251.23-P1P2_00,0.28856337962493367,0.08509589,90.0,2450.0
POLR2H_POLR2H_+_184081251.23-P1P2_07,0.04502753632580739,0.4303284,97.0,2457.0
POLR2H_POLR2H_+_184081251.23-P1P2_08,0.06551297493097913,0.30564612,89.0,2449.0
POLR2H_POLR2H_+_184081251.23-P1P2_11,0.26423515534190956,0.13049215,76.0,2436.0
POLR2H_POLR2H_+_184081251.23-P1P2_12,0.05223575897521489,0.43009034,101.0,2461.0
RAN_RAN_+_131356438.23-P1P2_00,0.0555720046546237,0.24469249,111.0,2471.0
RAN_RAN_+_131356438.23-P1P2_02,0.11680925697785575,0.2620881,258.0,2618.0
RAN_RAN_+_131356438.23-P1P2_03,0.06411382271147505,0.2064052,119.0,2479.0
RAN_RAN_+_131356438.23-P1P2_04,0.06875588073011564,0.36011145,155.0,2515.0
RAN_RAN_+_131356438.23-P1P2_12,0.07813540326781451,0.5052863,192.0,2552.0
RPL9_RPL9_+_39460483.23-P1P2_00,0.5137462614450308,0.10306904,120.0,2480.0
RPL9_RPL9_+_39460483.23-P1P2_01,0.28906857016430537,0.12012089,75.0,2435.0
RPL9_RPL9_+_39460483.23-P1P2_04,0.09969789023846479,0.2537019,109.0,2469.0
RPL9_RPL9_+_39460483.23-P1P2_05,0.2200632146724353,0.14084946,106.0,2466.0
RPL9_RPL9_+_39460483.23-P1P2_07,0.09516262889685537,0.27322012,176.0,2536.0
RPS14_RPS14_+_149829238.23-P1P2_00,0.32061079682258853,0.13636404,196.0,2556.0
RPS14_RPS14_+_149829238.23-P1P2_01,0.2538144960792846,0.058885016,65.0,2425.0
RPS14_RPS14_+_149829238.23-P1P2_02,0.24702391743533186,0.13464694,201.0,2561.0
RPS14_RPS14_+_149829238.23-P1P2_04,0.10925452743668536,0.23250076,199.0,2559.0
RPS14_RPS14_+_149829238.23-P1P2_08,0.04863456139337332,0.5962709,117.0,2477.0
RPS14_RPS14_+_149829238.23-P1P2_13,0.062232879898161515,0.39986145,139.0,2499.0
RPS15_RPS15_-_1438413.23-P1P2_00,0.20418660979118358,0.1732496,102.0,2462.0
RPS15_RPS15_-_1438413.23-P1P2_01,0.08931630177020108,0.45866087,222.0,2582.0
RPS15_RPS15_-_1438413.23-P1P2_02,0.07110429134764429,0.277726,77.0,2437.0
RPS15_RPS15_-_1438413.23-P1P2_07,0.13807378299627943,0.22013843,133.0,2493.0
RPS15_RPS15_-_1438413.23-P1P2_12,0.0509976067807242,0.5854046,124.0,2484.0
RPS18_RPS18_+_33239917.23-P1P2_00,0.20110316315609245,0.12881947,101.0,2461.0
RPS18_RPS18_+_33239917.23-P1P2_01,0.1589195239157643,0.14172067,88.0,2448.0
RPS18_RPS18_+_33239917.23-P1P2_02,0.1031329089230449,0.15017329,93.0,2453.0
RPS18_RPS18_+_33239917.23-P1P2_04,0.054381179403917256,0.4452758,122.0,2482.0
RPS18_RPS18_+_33239917.23-P1P2_08,0.10232551259634953,0.27932,193.0,2553.0
SEC61A1_SEC61A1_-_127771295.23-P1_00,0.2830333314085663,0.09887353,216.0,2576.0
SEC61A1_SEC61A1_-_127771295.23-P1_01,0.08404241435499263,0.20318596,110.0,2470.0
SEC61A1_SEC61A1_-_127771295.23-P1_02,0.22529758309986322,0.14611638,212.0,2572.0
SEC61A1_SEC61A1_-_127771295.23-P1_03,0.12841699534863776,0.21334967,130.0,2490.0
SEC61A1_SEC61A1_-_127771295.23-P1_04,0.05592149034868723,0.42466083,120.0,2480.0
TUBB_TUBB_+_30688126.23-P1_00,0.11662433344477931,0.08105415,195.0,2555.0
TUBB_TUBB_+_30688126.23-P1_01,0.07139796955725225,0.19702473,107.0,2467.0
TUBB_TUBB_+_30688126.23-P1_03,0.04979598879082068,0.2219684,84.0,2444.0
TUBB_TUBB_+_30688126.23-P1_06,0.06249110299253839,0.1600082,94.0,2454.0
TUBB_TUBB_+_30688126.23-P1_10,0.07153013382324121,0.31559485,158.0,2518.0
